date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2024-04-22,68.5,67.5,76.3,72.9,57.4,1.3626,1.3626
2024-04-23,73.4,70.2,72.1,74.6,76.7,1.3626,1.3626
2024-04-24,82.9,77.8,78.6,75.0,100.0,1.3626,1.3626
2024-04-25,63.8,73.7,73.3,72.3,35.9,1.3324,1.3324
2024-04-26,78.0,76.9,75.1,72.5,87.7,1.3324,1.3324
2024-04-29,85.9,89.0,80.4,74.2,100.0,1.3324,1.3324
2024-04-30,77.1,87.4,77.6,72.7,70.7,0.8539,0.8963
2024-05-02,66.8,77.3,74.8,70.7,44.3,0.6751,2.2597
2024-05-03,77.7,85.4,75.3,69.2,80.8,0.6751,3.1301
2024-05-06,79.8,88.2,75.3,67.9,87.6,0.6751,3.1301
2024-05-07,75.9,89.5,74.9,67.7,71.6,0.6751,3.1301
2024-05-08,76.6,88.8,79.9,66.5,71.2,0.6751,3.1301
2024-05-09,68.8,86.5,75.2,73.8,39.7,0.0,3.1301
2024-05-10,80.1,88.3,76.2,73.2,82.7,0.2149,3.1301
2024-05-13,79.4,89.8,75.7,74.3,77.6,0.2149,3.1301
2024-05-14,82.2,90.4,76.1,74.3,88,0.3169,3.1301
2024-05-15,83.1,91.5,77.2,75.5,88,0.3169,3.1301
2024-05-16,85.6,90.2,78.1,75.2,99.1,0.3169,3.1301
2024-05-17,77.1,90.3,80.7,75.5,61.8,0.1948,3.1301
2024-05-20,78.1,92.0,82.0,75.1,63.2,0.1948,3.1301
2024-05-21,77.0,92.2,79.6,75.1,61.2,0.1948,3.1301
2024-05-22,84.0,90.0,76.6,75.6,93.6,0.8963,3.1301
2024-05-23,80.5,90.7,82.7,74.5,74.1,2.2597,3.1301
2024-05-24,78.8,91.3,79.6,74.5,70.1,3.1301,3.1301
2024-05-27,76.4,90.1,76.9,73.0,65.5,3.1301,3.1301
2024-05-28,77.3,89.5,81.8,74.8,63.2,3.1301,3.1301
2024-05-29,67.5,90.5,77.2,75.0,27.5,2.254,2.531
2024-05-30,64.6,90.1,75.8,75.5,17.0,0.8905,2.531
2024-05-31,67.0,79.4,75.1,74.7,38.9,0.8364,2.531
2024-06-03,79.4,91.1,78.0,75.2,73.5,0.8364,2.531
2024-06-04,70.3,88.0,75.9,74.9,42.3,0.5049,2.531
2024-06-05,70.8,89.5,73.7,74.3,45.8,0.5049,2.531
2024-06-06,83.0,91.1,79.0,74.7,87.2,0.5049,2.531
2024-06-07,75.0,91.0,80.6,74.9,53.5,0.3031,2.531
2024-06-11,69.5,90.9,81.4,74.7,30.8,0.0364,2.531
2024-06-12,80.0,89.9,74.5,75.4,80.3,0.0364,2.531
2024-06-13,83.0,88.5,76.1,76.6,90.9,0.0364,2.531
2024-06-14,80.0,87.5,75.8,76.4,80.5,0.6524,2.531
2024-06-17,73.5,88.0,80.9,76.1,49.2,2.531,2.531
2024-06-18,79.7,87.1,76.1,74.9,80.8,2.531,2.531
2024-06-19,84.2,83.9,81.0,73.7,98.3,2.531,2.5429
2024-06-20,79.8,82.1,75.8,73.2,88,2.531,4.0654
2024-06-21,70.0,84.5,75.2,70.5,49.7,1.8909,6.2352
2024-06-24,61.7,85.6,69.5,68.4,23.3,0.3511,8.7455
2024-06-25,74.5,85.2,79.6,67.5,65.9,0.7772,8.7455
2024-06-26,75.9,85.3,80.3,69.0,69.2,0.7772,9.3104
2024-06-27,70.7,86.3,80.4,68.2,47.9,0.7772,9.3104
2024-06-28,76.8,87.4,74.9,69.3,75.5,0.7772,9.3104
2024-07-01,76.3,87.2,80.5,68.5,68.9,0.7772,9.3104
2024-07-02,66.8,87.8,76.7,67.7,35.0,0.0,9.3104
2024-07-03,77.9,87.7,77.4,67.2,79.2,0.0,11.2831
2024-07-04,83.0,85.7,81.2,68.3,96.6,0.0,18.6927
